 3      2     8     1
 3      0     1     8
 3     57     9    56
 3     56     9    55
 3      8    57     0
 3      3     4     2
 3      5     6     7
 3      5     7     8
 3     11    53    54
 3     55     9    54
 3      8     4     5
 3      2     4     8
 3     12    52    53
 3     32    51    31
 3     50    51    32
 3     47    48    35
 3     47    37    46
 3     34    48    49
 3     50    34    49
 3     34    50    33
 3     46    38    45
 3     35    48    34
 3     44    45    38
 3     39    43    44
 3     39    42    43
 3     36    47    35
 3     33    50    32
 3     31    51    52
 3      8     9    57
 3      9    10    11
 3     52    12    31
 3     12    53    11
 3     12    30    31
 3     14    28    29
 3     29    30    13
 3     11    54     9
 3     15    28    14
 3     14    29    13
 3     27    15    16
 3     27    28    15
 3     27    16    26
 3     25    16    17
 3     13    30    12
 3     37    38    46
 3     38    39    44
 3     41    42    40
 3     40    42    39
 3     37    47    36
 3     25    17    24
 3     24    18    23
 3     26    16    25
 3     22    18    19
 3     22    23    18
 3     20    21    19
 3     22    19    21
 3     18    24    17
